38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
576,58,594,58,594,69,576,69
594,58,604,58,604,68,594,68
605,58,632,58,632,69,605,69
536,85,546,85,546,97,536,97
548,86,570,86,570,98,548,98
356,106,381,106,381,121,356,121
558,109,581,109,581,122,558,122
525,110,548,110,548,124,525,124
34,128,84,128,84,146,34,146
85,128,100,128,100,145,85,145
104,128,134,128,134,146,104,146
137,127,195,129,194,151,136,149
197,128,220,128,220,146,197,146
220,129,252,129,252,146,220,146
573,145,586,145,586,161,573,161
532,152,554,152,554,164,532,164
45,157,112,161,111,181,44,178
113,158,158,160,157,180,112,178
160,160,180,160,180,180,160,180
209,160,240,160,240,178,209,178
182,162,205,162,205,177,182,177
414,168,437,168,437,182,414,182
440,170,461,170,461,182,440,182
128,191,209,189,209,211,129,213
74,190,128,193,127,213,73,210
274,233,300,233,300,249,274,249
392,233,418,233,418,246,392,246
329,266,338,266,338,280,329,280
340,268,361,268,361,280,340,280
505,386,535,388,534,403,504,401
537,386,593,386,593,404,537,404
70,392,94,392,94,408,70,408
93,392,104,392,104,408,93,408
220,392,253,392,253,408,220,408
369,392,402,392,402,408,369,408
106,394,130,394,130,408,106,408
257,394,280,394,280,408,257,408
406,394,429,394,429,408,406,408
502,413,593,413,593,429,502,429
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
