38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
368,142,378,142,378,157,368,157
141,152,188,152,188,172,141,172
249,152,306,152,306,172,249,172
310,152,358,152,358,172,310,172
417,152,458,152,458,172,417,172
462,152,498,152,498,172,462,172
192,154,248,154,248,174,192,174
388,156,414,156,414,176,388,176
368,168,378,168,378,182,368,182
90,308,100,308,100,321,90,321
80,358,104,358,104,377,80,377
533,369,558,369,558,388,533,388
232,370,257,370,257,389,232,389
78,386,104,386,104,408,78,408
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
