38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
121,156,170,156,170,174,121,174
170,156,186,156,186,173,170,173
189,156,221,156,221,174,189,174
222,156,285,156,285,174,222,174
368,156,442,156,442,177,368,177
444,156,466,156,466,174,444,174
466,156,480,156,480,173,466,173
482,156,518,156,518,174,482,174
520,156,544,156,544,174,520,174
285,158,364,158,364,173,285,173
89,340,100,340,100,354,89,354
381,340,404,340,404,356,381,356
529,340,550,340,550,356,529,356
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
