38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
204,71,252,74,251,89,203,86
365,85,412,85,412,98,365,98
202,92,252,92,252,105,202,105
216,114,229,114,229,132,216,132
277,114,290,114,290,132,277,132
334,114,348,114,348,132,334,132
381,114,394,114,394,133,381,133
314,116,330,116,330,130,314,130
192,199,249,196,250,215,193,218
250,197,286,197,286,216,250,216
288,197,385,197,385,217,288,217
414,197,489,197,489,217,414,217
149,198,190,198,190,216,149,216
388,198,412,198,412,217,388,217
81,262,90,262,90,276,81,276
134,261,228,261,228,281,134,281
229,262,260,262,260,277,229,277
360,262,370,262,370,276,360,276
422,264,534,264,534,280,422,280
449,382,470,382,470,402,449,402
417,384,448,384,448,398,417,398
472,384,544,384,544,401,472,401
138,385,266,385,266,405,138,405
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
