38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
62,277,112,277,112,296,62,296
112,277,129,277,129,296,112,296
130,277,162,277,162,296,130,296
165,277,217,277,217,296,165,296
217,277,240,277,240,296,217,296
240,277,330,277,330,296,240,296
422,277,444,277,444,296,422,296
445,277,481,277,481,296,445,296
482,278,579,274,580,295,482,299
330,278,421,278,421,298,330,298
279,309,359,307,360,330,280,331
389,414,400,414,400,430,389,430
538,414,550,414,550,430,538,430
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
