38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
76,109,132,109,132,128,76,128
134,109,156,109,156,128,134,128
157,109,189,109,189,128,157,128
190,106,276,110,275,131,190,127
275,111,350,107,351,127,276,131
352,109,413,109,413,128,352,128
440,109,460,109,460,128,440,128
461,109,493,109,493,128,461,128
496,109,532,109,532,128,496,128
414,112,438,112,438,130,414,130
532,112,554,112,554,128,532,128
152,134,192,134,192,153,152,153
193,134,225,134,225,153,193,153
228,134,300,134,300,153,228,153
402,134,477,134,477,153,402,153
300,136,382,136,382,153,300,153
384,136,398,136,398,152,384,152
122,184,170,181,172,209,124,212
340,184,403,182,404,210,341,212
196,187,263,185,264,210,197,212
176,189,193,189,193,209,176,209
17,461,25,461,25,469,17,469
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
