38,13,85,11,85,31,38,32
13,13,33,13,33,28,13,28
268,62,318,62,318,81,268,81
320,65,356,65,356,80,320,80
288,114,300,114,300,133,288,133
338,116,353,116,353,166,338,166
286,137,300,137,300,165,286,165
320,192,352,192,352,210,320,210
430,192,477,192,477,210,430,210
144,192,184,194,183,212,143,210
298,193,317,193,317,210,298,210
353,193,429,193,429,213,353,213
186,196,229,196,229,213,186,213
231,195,295,195,295,210,231,210
237,276,248,276,248,289,237,289
532,329,545,329,545,374,532,374
80,332,104,332,104,352,80,352
237,332,250,332,250,378,237,378
384,332,409,332,409,350,384,350
80,361,105,361,105,380,80,380
384,361,409,361,409,381,384,381
25,461,45,461,45,470,25,470
45,461,68,461,68,470,45,470
